Sl. No.,Timestamp,Labels,I_w_BLO_Weg,O_w_BLO_power,O_w_BLO_voltage,I_w_BHL_Weg,O_w_BHL_power,O_w_BHL_voltage,I_w_BHR_Weg,O_w_BHR_power,O_w_BHR_voltage,I_w_BRU_Weg,O_w_BRU_power,O_w_BRU_voltage,I_w_HR_Weg,O_w_HR_power,O_w_HR_voltage,I_w_HL_Weg,O_w_HL_power,O_w_HL_voltage,Training
16,0.898002625,0,7,0,0,-547,0,0,-874,0,1,231,25630,55,0,6648,24,0,3434,26,0
17,0.996002197,0,7,0,0,-547,0,0,-874,0,1,231,25630,55,0,6648,24,0,3434,26,1
18,1.054000854,0,7,0,0,-547,0,0,-874,0,1,231,25630,55,0,6648,24,0,3434,26,0
19,1.097999573,0,7,0,0,-547,0,0,-874,0,0,302,18150,50,0,7168,26,0,3434,26,1
20,1.199996948,0,7,0,0,-547,0,0,-874,0,0,302,18150,50,0,7168,26,0,3434,26,1
21,1.249000549,0,7,0,0,-547,0,0,-874,0,0,302,18150,50,0,7168,26,0,3434,26,1
22,1.294998169,0,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24,0
23,1.350997925,0,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24,1
24,1.395996094,0,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24,0
25,1.494995117,0,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24,1
26,1.543998718,0,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24,0
27,1.581001282,0,7,0,0,-547,0,0,86,17800,50,442,16400,50,0,9950,26,0,5440,24,1
28,1.648002625,0,7,0,0,-547,0,0,86,17800,50,442,16400,50,0,9950,26,0,5440,24,1
29,1.748001099,0,7,0,0,-547,0,0,155,17640,50,511,17640,50,0,11874,27,0,5440,24,1
30,1.805000305,0,7,0,0,-547,0,0,155,17640,50,511,17640,50,0,11874,27,0,5440,24,1
31,1.850997925,0,7,0,0,-547,0,0,155,17640,50,511,17640,50,0,11874,27,0,5440,24,1
32,1.909996033,0,7,0,0,-547,0,0,155,17640,50,511,17640,50,0,11874,27,0,5440,24,1
33,2.000999451,0,7,0,0,-547,0,0,155,17640,50,511,17640,50,0,11874,27,0,5440,24,1
34,2.055999756,0,7,0,0,-547,0,0,226,19450,50,565,594,9,0,15049,27,0,5440,24,1
35,2.103996277,0,7,0,0,-547,0,0,226,19450,50,565,594,9,0,15049,27,0,5440,24,0
36,2.158996582,0,7,0,0,-547,0,0,226,19450,50,565,594,9,0,15049,27,0,5440,24,1
37,2.199996948,0,7,0,0,-547,0,0,296,26049,57,565,0,0,0,28142,39,0,16076,36,1
38,2.308998108,0,7,0,0,-547,0,0,296,26049,57,565,0,0,0,28142,39,0,16076,36,1
39,2.355995178,0,7,0,0,-547,0,0,296,26049,57,565,0,0,0,28142,39,0,16076,36,0
40,2.400001526,0,7,0,0,-547,0,0,426,14888,92,565,0,0,-40,6488,110,-41,9152,108,1
41,2.456001282,0,7,0,0,-547,0,0,426,14888,92,565,0,0,-40,6488,110,-41,9152,108,1
42,2.558998108,0,7,0,0,-547,0,0,426,14888,92,565,0,0,-40,6488,110,-41,9152,108,1
43,2.602996826,0,7,0,0,-547,0,0,426,14888,92,565,0,0,-40,6488,110,-41,9152,108,1
44,2.658996582,0,7,0,0,-547,0,0,566,12262,93,565,0,0,-143,4737,185,-145,11298,179,1
45,2.7029953,0,7,0,0,-547,0,0,566,12262,93,565,0,0,-143,4737,185,-145,11298,179,1
46,2.805000305,0,7,0,0,-547,0,0,566,12262,93,565,0,0,-143,4737,185,-145,11298,179,1
47,2.848999023,0,7,0,0,10,3772,61,704,1116,84,565,0,0,-307,10744,241,-310,18476,251,1
48,2.906997681,0,7,0,0,10,3772,61,704,1116,84,565,0,0,-307,10744,241,-310,18476,251,1
49,2.944000244,0,7,0,0,10,3772,61,704,1116,84,565,0,0,-307,10744,241,-310,18476,251,0
50,3.058998108,0,7,0,0,138,24268,97,778,1800,14,565,0,0,-518,10998,239,-521,30253,231,1
51,3.102996826,0,7,0,0,138,24268,97,778,1800,14,565,0,0,-518,10998,239,-521,30253,231,1
52,3.157997131,0,7,0,0,138,24268,97,778,1800,14,565,0,0,-518,10998,239,-521,30253,231,0
53,3.2029953,0,7,0,0,138,24268,97,778,1800,14,565,0,0,-518,10998,239,-521,30253,231,1
54,3.303001404,0,7,0,0,279,16442,94,781,0,0,565,0,0,-685,7262,165,-687,9302,177,0
55,3.351997375,0,7,0,0,279,16442,94,781,0,0,565,0,0,-685,7262,165,-687,9302,177,1
56,3.406997681,0,7,0,0,279,16442,94,781,0,0,565,0,0,-685,7262,165,-687,9302,177,1
57,3.471000671,0,7,0,0,417,17772,94,781,0,0,565,0,0,-790,7972,108,-790,28032,108,1
58,3.555000305,0,7,0,0,417,17772,94,781,0,0,565,0,0,-790,7972,108,-790,28032,108,1
59,3.61000061,0,7,0,0,417,17772,94,781,0,0,565,0,0,-790,7972,108,-790,28032,108,0
60,3.652000427,0,7,0,0,417,17772,94,781,0,0,565,0,0,-790,7972,108,-790,28032,108,1
61,3.699996948,0,7,0,0,417,17772,94,781,0,0,565,0,0,-790,7972,108,-790,28032,108,1
62,3.751998901,0,7,0,0,561,14257,97,781,0,0,565,0,0,-832,29332,36,-832,4859,39,1
63,3.861999512,0,7,0,0,561,14257,97,781,0,0,565,0,0,-832,29332,36,-832,4859,39,0
64,3.907997131,0,7,0,0,561,14257,97,781,0,0,565,0,0,-832,29332,36,-832,4859,39,0
65,3.956001282,0,1,8965.371901,17,700,16958,97,781,0,0,565,0,0,-833,11744,26,-833,23492,29,0
66,4.011001587,1,1,8965.371901,17,700,16958,97,781,0,0,565,0,0,-833,11744,26,-833,23492,29,1
67,4.111999512,1,1,8965.371901,17,700,16958,97,781,0,0,565,0,0,-833,11744,26,-833,23492,29,1
68,4.159996033,1,1,8965.371901,17,700,16958,97,781,0,0,565,0,0,-833,11744,26,-833,23492,29,0
69,4.214996338,1,48,25136.3719,51,832,15078,95,781,0,0,565,0,0,-833,10626,26,-833,23202,31,0
70,4.258995056,1,48,25136.3719,51,832,15078,95,781,0,0,565,0,0,-833,10626,26,-833,23202,31,1
71,4.361999512,1,48,25136.3719,51,832,15078,95,781,0,0,565,0,0,-833,10626,26,-833,23202,31,1
72,4.40599823,1,117,29735.3719,55,924,6183,27,781,0,0,565,0,0,-833,9222,26,-833,16102,27,0
73,4.441001892,1,117,29735.3719,55,924,6183,27,781,0,0,565,0,0,-833,9222,26,-833,16102,27,1
74,4.510002136,1,117,29735.3719,55,924,6183,27,781,0,0,565,0,0,-833,9222,26,-833,16102,27,1
75,4.612998962,1,187,28724.3719,52,931,234,2,781,0,0,565,0,0,-833,4912,26,-833,10574,27,1
76,4.660995483,1,187,28724.3719,52,931,234,2,781,0,0,565,0,0,-833,4912,26,-833,10574,27,1
77,4.716995239,1,187,28724.3719,52,931,234,2,781,0,0,565,0,0,-833,4912,26,-833,10574,27,1
78,4.792999268,1,257,25931.3719,51,931,230,2,781,0,0,565,0,0,-833,7168,24,-833,7090,26,1
79,4.866996765,1,257,25931.3719,51,931,230,2,781,0,0,565,0,0,-833,7168,24,-833,7090,26,1
80,4.906997681,1,257,25931.3719,51,931,230,2,781,0,0,565,0,0,-833,7168,24,-833,7090,26,1
81,4.966995239,1,257,25931.3719,51,931,230,2,781,0,0,565,0,0,-833,7168,24,-833,7090,26,1
82,5.013999939,1,323,27155.3719,51,931,105,1,781,0,0,565,0,0,-833,3784,24,-833,6492,24,1
83,5.117996216,1,323,27155.3719,51,931,105,1,781,0,0,565,0,0,-833,3784,24,-833,6492,24,1
84,5.162002563,1,323,27155.3719,51,931,105,1,781,0,0,565,0,0,-833,3784,24,-833,6492,24,0
85,5.218002319,1,323,27155.3719,51,931,105,1,781,0,0,565,0,0,-833,3784,24,-833,6492,24,1
86,5.268997192,1,392,24330.3719,50,931,93,1,781,0,0,565,0,0,-833,3616,26,-833,6908,26,1
87,5.36000061,1,392,24330.3719,50,931,93,1,781,0,0,565,0,0,-833,3616,26,-833,6908,26,1
88,5.417999268,1,392,24330.3719,50,931,93,1,781,0,0,565,0,0,-833,3616,26,-833,6908,26,1
89,5.462997437,1,392,24330.3719,50,931,93,1,781,0,0,565,0,0,-833,3616,26,-833,6908,26,1
90,5.517997742,1,449,20560.3719,41,931,87,1,781,0,0,565,0,0,-833,2560,24,-833,8572,23,1
91,5.613998413,1,449,20560.3719,41,931,87,1,781,0,0,565,0,0,-833,2560,24,-833,8572,23,1
92,5.659996033,1,449,20560.3719,41,931,87,1,781,0,0,565,0,0,-833,2560,24,-833,8572,23,1
93,5.714996338,1,490,7028.371901,12,931,76,1,781,0,0,565,0,0,-833,4048,26,-833,9973,26,0
94,5.761001587,1,490,7028.371901,12,931,76,1,781,0,0,565,0,0,-833,4048,26,-833,9973,26,1
95,5.861000061,1,490,7028.371901,12,931,76,1,781,0,0,565,0,0,-833,4048,26,-833,9973,26,1
96,5.917999268,1,461,24186.3719,47,931,55,0,781,0,0,565,0,0,-833,6778,24,-833,9092,26,1
97,5.968002319,1,461,24186.3719,47,931,55,0,781,0,0,565,0,0,-833,6778,24,-833,9092,26,1
98,6.016998291,1,461,24186.3719,47,931,55,0,781,0,0,565,0,0,-833,6778,24,-833,9092,26,1
99,6.116996765,1,391,25380.3719,49,931,0,0,781,0,0,565,0,0,-833,4288,26,-833,11809,26,1
100,6.160995483,1,391,25380.3719,49,931,0,0,781,0,0,565,0,0,-833,4288,26,-833,11809,26,0
101,6.215995789,1,391,25380.3719,49,931,0,0,781,0,0,565,0,0,-833,4288,26,-833,11809,26,0
102,6.261001587,1,391,25380.3719,49,931,0,0,781,0,0,565,0,0,-833,4288,26,-833,11809,26,1
103,6.319000244,1,391,25380.3719,49,931,0,0,781,0,0,565,0,0,-833,4288,26,-833,11809,26,0
104,6.42099762,1,321,23904.3719,49,931,0,0,781,0,0,565,0,0,-833,7636,24,-833,10444,26,1
105,6.464996338,1,321,23904.3719,49,931,0,0,781,0,0,565,0,0,-833,7636,24,-833,10444,26,1
106,6.519996643,1,321,23904.3719,49,931,0,0,781,0,0,565,0,0,-833,7636,24,-833,10444,26,1
107,6.611000061,1,321,23904.3719,49,931,0,0,781,0,0,565,0,0,-833,7636,24,-833,10444,26,0
108,6.669998169,1,252,24656.3719,50,931,0,0,781,0,0,565,0,0,-833,7636,26,-833,10964,26,1
109,6.713996887,1,252,24656.3719,50,931,0,0,781,0,0,565,0,0,-833,7636,26,-833,10964,26,1
110,6.768997192,1,252,24656.3719,50,931,0,0,781,0,0,565,0,0,-833,7636,26,-833,10964,26,1
111,6.857002258,1,187,25630.3719,51,931,0,0,781,0,0,565,0,0,-833,4840,24,-833,11302,26,1
112,6.917999268,1,187,25630.3719,51,931,0,0,781,0,0,565,0,0,-833,4840,24,-833,11302,26,1
113,6.972000122,1,187,25630.3719,51,931,0,0,781,0,0,565,0,0,-833,4840,24,-833,11302,26,0
114,7.018997192,1,116,27080.3719,50,0,516,7,781,0,0,565,0,0,-833,8182,24,-833,13078,27,1
115,7.068000793,1,116,27080.3719,50,0,516,7,781,0,0,565,0,0,-833,8182,24,-833,13078,27,1
116,7.166999817,1,116,27080.3719,50,0,516,7,781,0,0,565,0,0,-833,8182,24,-833,13078,27,0
117,7.222000122,1,46,23780.3719,50,-55,18207,51,781,0,0,565,0,0,-833,5344,24,-833,11744,29,1
118,7.26599884,1,46,23780.3719,50,-55,18207,51,781,0,0,565,0,0,-833,5344,24,-833,11744,29,0
119,7.322998047,1,46,23780.3719,50,-55,18207,51,781,0,0,565,0,0,-833,5344,24,-833,11744,29,0
120,7.424995422,1,46,23780.3719,50,-55,18207,51,781,0,0,565,0,0,-833,5344,24,-833,11744,29,0
121,7.46900177,1,46,23780.3719,50,-55,18207,51,781,0,0,565,0,0,-833,5344,24,-833,11744,29,1
122,7.520996094,1,-27,24554.3719,51,-130,18228,49,781,0,0,565,0,0,-833,8754,26,-833,12368,29,1
123,7.565002441,1,-27,24554.3719,51,-130,18228,49,781,0,0,565,0,0,-833,8754,26,-833,12368,29,1
124,7.665000916,1,-27,24554.3719,51,-130,18228,49,781,0,0,565,0,0,-833,8754,26,-833,12368,29,0
125,7.712997437,1,-93,15210.3719,35,-198,18972,52,781,0,0,565,0,0,-833,8780,24,-833,15130,27,1
126,7.767997742,1,-93,15210.3719,35,-198,18972,52,781,0,0,565,0,0,-833,8780,24,-833,15130,27,1
127,7.861000061,1,-93,15210.3719,35,-198,18972,52,781,0,0,565,0,0,-833,8780,24,-833,15130,27,1
128,7.92199707,1,-107,149,1,-267,18666,50,781,0,0,565,0,0,-833,8780,26,-833,19432,29,1
129,7.965995789,0,-107,149,1,-267,18666,50,781,0,0,565,0,0,-833,8780,26,-833,19432,29,1
130,8.020996094,0,-107,149,1,-267,18666,50,781,0,0,565,0,0,-833,8780,26,-833,19432,29,0
131,8.122001648,0,-107,141,2,-368,13292,95,-35,8818,86,565,0,0,-817,21048,24,-817,25296,24,1
132,8.166000366,0,-107,141,2,-368,13292,95,-35,8818,86,565,0,0,-817,21048,24,-817,25296,24,1
133,8.225997925,0,-107,141,2,-368,13292,95,-35,8818,86,565,0,0,-817,21048,24,-817,25296,24,1
134,8.315002441,0,-107,141,2,-368,13292,95,-35,8818,86,565,0,0,-817,21048,24,-817,25296,24,1
135,8.368995667,0,-107,141,2,-368,13292,95,-35,8818,86,565,0,0,-817,21048,24,-817,25296,24,0
136,8.426002502,0,-107,122,1,-508,12446,94,-174,3277,90,565,0,0,-742,30751,92,-740,12155,85,1
137,8.472000122,0,-107,122,1,-508,12446,94,-174,3277,90,565,0,0,-742,30751,92,-740,12155,85,0
138,8.570999146,0,-107,122,1,-508,12446,94,-174,3277,90,565,0,0,-742,30751,92,-740,12155,85,0
139,8.570999146,0,-107,113,1,-647,7282,90,-313,5591,88,565,0,0,-605,5630,159,-603,25872,156,1
140,8.672996521,0,-107,113,1,-647,7282,90,-313,5591,88,565,0,0,-605,5630,159,-603,25872,156,1
141,8.718002319,0,-107,113,1,-647,7282,90,-313,5591,88,565,0,0,-605,5630,159,-603,25872,156,1
142,8.766998291,0,-107,93,0,-739,3888,24,-450,13022,95,565,0,0,-408,22944,211,-405,13812,211,1
143,8.866996765,0,-107,93,0,-739,3888,24,-450,13022,95,565,0,0,-408,22944,211,-405,13812,211,1
144,8.913002014,0,-107,93,0,-739,3888,24,-450,13022,95,565,0,0,-408,22944,211,-405,13812,211,1
145,8.972999573,0,-107,0,0,-746,0,0,-590,18933,98,565,0,0,-213,17352,147,-210,4828,147,1
146,9.016998291,0,-107,0,0,-746,0,0,-590,18933,98,565,0,0,-213,17352,147,-210,4828,147,1
147,9.125999451,0,-107,0,0,-746,0,0,-590,18933,98,565,0,0,-213,17352,147,-210,4828,147,1
148,9.174995422,0,-107,0,0,-746,0,0,-590,18933,98,565,0,0,-213,17352,147,-210,4828,147,1
149,9.221000671,0,-107,0,0,-746,39,0,-729,11484,94,565,0,0,-81,16416,82,-80,10094,82,1
150,9.269996643,0,-107,0,0,-746,39,0,-729,11484,94,565,0,0,-81,16416,82,-80,10094,82,1
151,9.373001099,0,-107,0,0,-746,39,0,-729,11484,94,565,0,0,-81,16416,82,-80,10094,82,1
152,9.428001404,0,-107,0,0,-746,39,0,-729,11484,94,565,0,0,-81,16416,82,-80,10094,82,1
153,9.472000122,0,-107,0,0,-746,39,0,-729,11484,94,565,0,0,-81,16416,82,-80,10094,82,1
154,9.527000427,0,-107,0,0,0,0,0,-868,13198,93,565,0,0,-11,26672,16,-11,23440,14,0
155,9.623001099,0,-107,0,0,0,0,0,-868,13198,93,565,0,0,-11,26672,16,-11,23440,14,1
156,9.664001465,0,-107,0,0,0,0,0,-868,13198,93,565,0,0,-11,26672,16,-11,23440,14,1
157,9.722000122,0,-107,0,0,0,0,0,-1007,32451,86,565,0,0,0,11485,26,0,7120,24,1
158,9.777999878,0,-107,0,0,0,0,0,-1007,32451,86,565,0,0,0,11485,26,0,7120,24,1
159,9.877998352,0,-107,0,0,0,0,0,-1007,32451,86,565,0,0,0,11485,26,0,7120,24,1
160,9.922996521,0,-107,0,0,0,0,0,-1089,15450,49,-26,21372,52,0,9638,26,0,12628,26,0
161,9.968002319,0,-107,0,0,0,0,0,-1089,15450,49,-26,21372,52,0,9638,26,0,12628,26,1
162,10.02199554,0,-107,0,0,0,0,0,-1089,15450,49,-26,21372,52,0,9638,26,0,12628,26,0
163,10.09600067,0,-107,0,0,0,0,0,-1158,13254,47,-95,20176,51,0,9378,27,0,13356,26,1
164,10.14099884,0,-107,0,0,0,0,0,-1158,13254,47,-95,20176,51,0,9378,27,0,13356,26,1
165,10.25099945,0,-107,0,0,0,0,0,-1158,13254,47,-95,20176,51,0,9378,27,0,13356,26,1
166,10.30699921,0,-107,0,0,0,0,0,-1158,13254,47,-165,20176,51,0,9378,26,0,13356,24,1
167,10.36100006,0,-107,0,0,0,0,0,-1228,17595,51,-165,19760,52,0,9118,26,0,13356,24,1
168,10.40999603,0,-107,0,0,0,0,0,-1228,17595,51,-165,19760,52,0,9118,26,0,13356,24,1
169,10.47000122,0,-107,0,0,0,0,0,-1228,17595,51,-165,19760,52,0,9118,26,0,13356,24,0
170,10.51699829,0,-107,0,0,0,0,0,-1268,0,0,-236,19872,54,0,9118,26,0,12576,26,1
171,10.6210022,0,-107,0,0,0,0,0,-1268,0,0,-236,19872,54,0,9118,26,0,12576,26,1
172,10.6780014,0,-107,0,0,0,0,0,-1268,0,0,-236,19872,54,0,9118,26,0,12576,26,1
173,10.72299957,0,-107,0,0,0,0,0,-1268,0,0,-236,19872,54,0,9118,26,0,12576,26,0
174,10.78099823,0,-107,0,0,0,0,0,-1268,0,0,-305,24976,56,0,8624,26,0,12576,24,0
175,10.82900238,0,-107,0,0,0,0,0,-1268,0,0,-305,24976,56,0,8624,26,0,12576,24,1
176,10.93199921,0,-107,0,0,0,0,0,-1268,0,0,-305,24976,56,0,8624,26,0,12576,24,1
177,10.98699951,0,-107,0,0,0,0,0,-1268,0,0,-376,17100,50,0,8312,26,0,8752,24,0
178,11.06199646,0,-107,0,0,0,0,0,-1268,0,0,-376,17100,50,0,8312,26,0,8752,24,1
179,11.10199738,0,-107,0,0,0,0,0,-1268,0,0,-376,17100,50,0,8312,26,0,8752,24,1
180,11.15499878,0,-107,0,0,0,0,0,-1268,0,0,-376,17100,50,0,8312,26,0,8752,24,0
181,11.21399689,0,-107,0,0,0,0,0,-1268,0,0,-444,22724,52,0,7922,26,0,8392,24,1
182,11.31299591,0,-107,0,0,0,0,0,-1268,0,0,-444,22724,52,0,7922,26,0,8392,24,0
183,11.36799622,0,-107,0,0,0,0,0,-1268,0,0,-444,22724,52,0,7922,26,0,8392,24,0
184,11.41300201,0,-107,0,0,0,0,0,-1268,0,0,-514,19800,49,0,7636,26,0,8080,24,1
185,11.48200226,0,-107,0,0,0,0,0,-1268,0,0,-514,19800,49,0,7636,26,0,8080,24,1
186,11.52600098,0,-107,0,0,0,0,0,-1268,0,0,-514,19800,49,0,7636,26,0,8080,24,0
187,11.58100128,0,-107,0,0,0,0,0,-1268,0,0,-514,19800,49,0,7636,26,0,8080,24,1
188,11.68199921,0,-107,0,0,0,0,0,-1268,0,0,-514,19800,49,0,7636,26,0,8080,24,1
189,11.73699951,0,-107,0,0,0,0,0,-1268,0,0,-583,21369,52,0,7168,26,0,11094,26,1
190,11.79100037,0,-107,0,0,0,0,0,-1268,0,0,-583,21369,52,0,7168,26,0,11094,26,1
191,11.85299683,0,-107,0,0,0,0,0,-1268,0,0,-583,21369,52,0,7168,26,0,11094,26,0
192,0,0,8,0,0,-547,0,0,-873,0,0,-25,7714,36,0,5764,26,0,2974,24,0
193,0.058998108,0,8,0,0,-547,0,0,-873,0,0,-25,7714,36,0,5764,26,0,2974,24,0
194,0.103996277,0,8,0,0,-547,0,0,-873,0,0,-25,7714,36,0,5764,26,0,2974,24,1
195,0.162002563,0,8,0,0,-547,0,0,-873,0,0,-25,7714,36,0,5764,26,0,2974,24,1
196,0.261001587,0,8,0,0,-547,0,0,-873,0,0,7,17187,50,0,5920,26,0,5008,23,1
197,0.316001892,0,8,0,0,-547,0,0,-873,0,0,7,17187,50,0,5920,26,0,5008,23,1
198,0.373001099,0,8,0,0,-547,0,0,-873,0,0,7,17187,50,0,5920,26,0,5008,23,1
199,0.416999817,0,8,0,0,-547,0,0,-873,0,0,75,20124,52,0,6492,26,0,3434,23,0
200,0.477996826,0,8,0,0,-547,0,0,-873,0,0,75,20124,52,0,6492,26,0,3434,23,1
201,0.527000427,0,8,0,0,-547,0,0,-873,0,0,75,20124,52,0,6492,26,0,3434,23,0
202,0.641998291,0,8,0,0,-547,0,0,-873,0,0,75,20124,52,0,6492,26,0,3434,23,1
203,0.685997009,0,8,0,0,-547,0,0,-873,0,0,145,20145,51,0,6648,26,0,3434,23,1
204,0.740997314,0,8,0,0,-547,0,0,-873,0,0,145,20145,51,0,6648,26,0,3434,23,0
205,0.789001465,0,8,0,0,-547,0,0,-873,0,0,145,20145,51,0,6648,26,0,3434,23,1
206,0.850997925,0,8,0,0,-547,0,0,-873,0,0,214,20145,52,0,6648,26,0,3434,23,1
207,0.963996887,0,8,0,0,-547,0,0,-873,0,0,214,22464,52,0,7168,26,0,3434,23,1
208,1.008995056,0,8,0,0,-547,0,0,-873,0,0,214,22464,52,0,7168,26,0,3434,23,1
209,1.065002441,0,8,0,0,-547,0,0,-873,0,0,214,22464,52,0,7168,26,0,3434,23,1
210,1.112998962,0,8,0,0,-547,0,0,-873,0,0,214,22464,52,0,7168,26,0,3434,23,1
211,1.160995483,0,8,0,0,-547,0,0,-873,0,0,284,20600,50,0,7376,26,0,3434,23,1
212,1.218002319,0,8,0,0,-547,0,0,-873,0,0,284,20600,50,0,7376,26,0,3434,23,0
213,1.321998596,0,8,0,0,-547,0,0,-873,0,0,284,20600,50,0,7376,26,0,3434,23,1
214,1.381996155,0,8,0,0,-547,0,0,1,4428,19,355,15745,47,0,7636,26,0,3434,23,1
215,1.426002502,0,8,0,0,-547,0,0,1,4428,19,355,15745,47,0,7636,26,0,3434,23,1
216,1.480995178,0,8,0,0,-547,0,0,1,4428,19,355,15745,47,0,7636,26,0,3434,23,1
217,1.538002014,0,8,0,0,-547,0,0,63,14030,46,424,16544,47,0,10378,26,0,5008,23,1
218,1.638999939,0,8,0,0,-547,0,0,63,14030,46,424,16544,47,0,10378,26,0,5008,23,1
219,1.690002441,0,8,0,0,-547,0,0,63,14030,46,424,16544,47,0,10378,26,0,5008,23,1
220,1.768997192,0,8,0,0,-547,0,0,63,14030,46,424,16544,47,0,10378,26,0,5008,23,1
221,1.824996948,0,8,0,0,-547,0,0,132,17050,49,494,16497,46,0,11809,26,0,3434,24,1
222,1.882995605,0,8,0,0,-547,0,0,132,17050,49,494,16497,46,0,11809,26,0,3434,24,1
223,1.928001404,0,8,0,0,-547,0,0,132,17050,49,494,16497,46,0,11809,26,0,3434,24,0
224,1.98400116,0,8,0,0,-547,0,0,132,17050,49,494,16497,46,0,11809,26,0,3434,24,1
225,2.028999329,0,8,0,0,-547,0,0,202,20000,50,562,5678,33,0,13078,26,0,5008,24,1
226,2.086997986,0,8,0,0,-547,0,0,202,20000,50,562,5678,33,0,13078,26,0,5008,24,0
227,2.205001831,0,8,0,0,-547,0,0,202,20000,50,562,5678,33,0,13078,26,0,5008,24,1
228,2.260002136,0,8,0,0,-547,0,0,202,20000,50,562,5678,3,0,13078,27,0,8156,24,1
229,2.315002441,0,8,0,0,-547,0,0,272,16950,49,572,166,3,0,14293,27,0,8156,24,1
230,2.35900116,0,8,0,0,-547,0,0,272,16950,49,572,166,3,0,14293,27,0,8156,24,0
231,2.412002563,0,8,0,0,-547,0,0,272,16950,49,572,166,3,0,14293,27,0,8156,24,1
232,2.513999939,0,8,0,0,-547,0,0,378,7966,93,572,136,2,-18,4799,87,-19,22777,85,1
233,2.557998657,0,8,0,0,-547,0,0,378,7966,93,572,136,2,-18,4799,87,-19,22777,85,1
234,2.616996765,0,8,0,0,-547,0,0,378,7966,93,572,136,2,-18,4799,87,-19,22777,85,1
235,2.662002563,0,8,0,0,-547,0,0,517,18556,95,572,52,2,-99,12688,152,-100,23508,149,1
236,2.718002319,0,8,0,0,-547,0,0,517,18556,95,572,52,2,-99,12688,152,-100,23508,149,1
237,2.823997498,0,8,0,0,-547,0,0,517,18556,95,572,52,2,-99,12688,152,-100,23508,149,1
238,2.874000549,0,8,0,0,0,648,8,661,5362,93,572,54,2,-247,2115,231,-248,2856,226,0
239,2.929000854,0,8,0,0,0,648,8,661,5362,93,572,54,2,-247,2115,231,-248,2856,226,1
240,2.98400116,0,8,0,0,0,648,8,661,5362,93,572,54,2,-247,2115,231,-248,2856,226,1
241,3.066001892,0,8,0,0,92,30118.73554,97,767,5670,34,572,18,1,-450,9885,261,-452,17840,261,0
242,3.14099884,1,8,0,0,92,30118.73554,97,767,5670,34,572,18,1,-450,9885,261,-452,17840,261,1
243,3.199996948,1,8,0,0,92,30118.73554,97,767,5670,34,572,18,1,-450,9885,261,-452,17840,261,1
244,3.240997314,1,8,0,0,92,30118.73554,97,767,5670,34,572,18,1,-450,9885,261,-452,17840,261,0
245,3.297996521,1,8,0,0,92,30118.73554,97,767,5670,34,572,18,1,-450,9885,261,-452,17840,261,1
246,3.343002319,1,8,0,0,234,27908.73554,94,781,20,0,572,13,1,-640,20090,184,-641,17680,188,1
247,3.457000732,1,8,0,0,234,27908.73554,94,781,20,0,572,13,1,-640,20090,184,-641,17680,188,1
